Shipping_Days,Sales,Quantity,Profit,Discount,Region,State,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name,Manufacturer,Returned,Return Reason,Notes
2,71.37,2,-1.0196,0.3,East,Pennsylvania,24,US-2018-156909,7/16/2018,7/18/2018,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,19140,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",,No,,
4,9.61,2,-7.0532,0.7,East,Pennsylvania,29,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,19140,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,,No,,
4,6.85,6,-5.715,0.7,East,Pennsylvania,33,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,19140,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,No,,
7,2.94,2,-2.2586,0.7,East,Pennsylvania,199,US-2018-124303,7/6/2018,7/13/2018,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,19120,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,No,,
7,1188,9,-950.4,0.7,East,Ohio,216,CA-2016-146262,1/2/2016,1/9/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,44256,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,,No,,
3,24,4,-13.8432,0.7,East,Ohio,222,CA-2016-169397,12/24/2016,12/27/2016,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,43017,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,,No,,
3,252,4,-383.9904,0.7,East,Ohio,224,CA-2016-169397,12/24/2016,12/27/2016,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,43017,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,,No,,
2,28,6,-27.6936,0.7,East,Pennsylvania,331,US-2017-141544,8/30/2017,9/1/2017,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,19143,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,,No,,
4,40,2,-13.816,0.7,East,Pennsylvania,333,US-2017-150147,4/25/2017,4/29/2017,Second Class,JL-15850,John Lucas,Consumer,United States,Philadelphia,19134,OFF-BI-10001153,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers,,No,,
4,8,3,-3.4272,0.7,East,Pennsylvania,334,US-2017-150147,4/25/2017,4/29/2017,Second Class,JL-15850,John Lucas,Consumer,United States,Philadelphia,19134,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,,No,,
4,288,10,-407.976,0.7,East,Pennsylvania,342,CA-2015-122336,4/13/2015,4/17/2015,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,19140,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,,No,,
4,72,4,-337.638,0.7,East,Pennsylvania,387,CA-2016-122756,12/3/2016,12/7/2016,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,19140,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,,No,,
4,6,2,-2.6256,0.7,East,Pennsylvania,608,US-2015-105767,5/23/2015,5/27/2015,Standard Class,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,19134,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,,No,,
3,45,2,-2.7968,0.7,East,Ohio,616,CA-2018-138611,11/14/2018,11/17/2018,Second Class,CK-12595,Clytie Kelty,Consumer,United States,Grove City,43123,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,,No,,
6,30,2,-2.6544,0.7,East,Ohio,656,CA-2017-137239,8/22/2017,8/28/2017,Standard Class,CR-12730,Craig Reiter,Consumer,United States,Columbus,43229,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,,No,,
3,360,2,-13.6312,0.7,East,Pennsylvania,700,CA-2016-119291,5/14/2016,5/17/2016,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,19013,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,,No,,
3,22,3,-3.4272,0.7,East,Pennsylvania,701,CA-2016-119291,5/14/2016,5/17/2016,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,19013,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,,No,,
3,238,5,-22.449,0.7,East,Ohio,782,US-2016-157014,10/3/2016,10/6/2016,Second Class,BM-11785,Bryan Mills,Consumer,United States,Columbus,43229,OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,,No,,
4,597,3,-2.4288,0.7,East,Pennsylvania,819,CA-2015-140858,6/28/2015,7/2/2015,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,19140,OFF-BI-10003094,Office Supplies,Binders,Self-Adhesive Ring Binder Labels,,No,,
4,26,3,-22.7964,0.7,East,Pennsylvania,821,CA-2015-140858,6/28/2015,7/2/2015,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,19140,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,,No,,
4,252,6,-35.928,0.7,East,Pennsylvania,869,CA-2015-136742,4/6/2015,4/10/2015,Standard Class,GP-14740,Guy Phonely,Corporate,United States,Lancaster,17602,OFF-BI-10003719,Office Supplies,Binders,Large Capacity Hanging Post Binders,,No,,
2,37,5,-760.98,0.7,East,Pennsylvania,870,CA-2017-158099,9/3/2017,9/5/2017,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,19143,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,,No,,
4,345,4,-4.1244,0.7,East,Pennsylvania,879,US-2015-158638,9/17/2015,9/21/2015,Standard Class,AG-10765,Anthony Garverick,Home Office,United States,Philadelphia,19120,OFF-BI-10003712,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",,No,,
2,50,2,-6.5296,0.7,East,Ohio,900,US-2017-114622,4/10/2017,4/12/2017,First Class,JR-16210,Justin Ritter,Corporate,United States,Springfield,45503,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,,No,,
4,35,6,-21.7932,0.7,East,Pennsylvania,935,CA-2017-140081,6/20/2017,6/24/2017,Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Philadelphia,19120,OFF-BI-10004826,Office Supplies,Binders,JM Magazine Binder,,No,,
2,26.34,2,-13.6312,0.7,East,Pennsylvania,973,CA-2015-115791,1/16/2015,1/18/2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,19134,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,,No,,
2,90,2,-1.9272,0.7,East,Ohio,1035,CA-2017-109820,11/20/2017,11/22/2017,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,45231,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,,No,,
2,29.55,3,-10.5798,0.7,East,Ohio,1036,CA-2017-109820,11/20/2017,11/22/2017,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,45231,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,,No,,
5,414,5,-46.225,0.7,East,Ohio,1067,CA-2016-161263,4/16/2016,4/21/2016,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Toledo,43615,OFF-BI-10004330,Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",,No,,
4,18.22,4,-18.4624,0.7,East,Pennsylvania,1070,US-2016-150161,7/25/2016,7/29/2016,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,19143,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,,No,,
4,716,2,-2.3276,0.7,East,Pennsylvania,1214,US-2018-118087,9/9/2018,9/13/2018,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,19134,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,Wilson Jones,Yes,Defective,
4,33.10,1,-3.6024,0.7,East,Pennsylvania,1215,US-2018-118087,9/9/2018,9/13/2018,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,19134,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",,No,,
5,8,3,-4.1832,0.7,East,Ohio,1321,CA-2018-167703,2/3/2018,2/8/2018,Standard Class,MC-17575,Matt Collins,Consumer,United States,Cincinnati,45231,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,,No,,
1,74,3,-1.7514,0.7,East,Pennsylvania,1449,US-2015-112564,4/23/2015,4/24/2015,First Class,TS-21160,Theresa Swint,Corporate,United States,Philadelphia,19134,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,,No,,
4,17,6,-34.38,0.7,East,Ohio,1630,CA-2018-101049,6/21/2018,6/25/2018,Second Class,AS-10240,Alan Shonely,Consumer,United States,Cleveland,44105,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,,No,,
3,36,6,-100.92,0.7,East,Pennsylvania,1649,CA-2016-120341,9/26/2016,9/29/2016,Second Class,SF-20200,Sarah Foster,Consumer,United States,Philadelphia,19143,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,,No,,
6,138,3,-9.264,0.7,East,Pennsylvania,1663,CA-2018-144526,4/30/2018,5/6/2018,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Philadelphia,19143,OFF-BI-10002353,Office Supplies,Binders,GBC VeloBind Cover Sets,,No,,
